"Date","Price","Open","High","Low","Change %"
"Mar 25, 2019","5.5493","5.7631","5.7736","5.5442","-3.69%"
"Mar 22, 2019","5.7617","5.4654","5.8486","5.4505","5.50%"
"Mar 21, 2019","5.4612","5.4215","5.4809","5.4191","0.80%"
"Mar 20, 2019","5.4178","5.4762","5.4859","5.4071","-1.05%"
"Mar 19, 2019","5.4754","5.4685","5.4912","5.4562","0.17%"
"Mar 18, 2019","5.4659","5.4466","5.4759","5.4437","0.37%"
"Mar 15, 2019","5.4457","5.4668","5.4781","5.4427","-0.36%"
"Mar 14, 2019","5.4653","5.4566","5.4795","5.4545","0.20%"
"Mar 13, 2019","5.4544","5.4563","5.4815","5.4483","-0.01%"
"Mar 12, 2019","5.4552","5.4454","5.4679","5.4253","0.20%"
"Mar 11, 2019","5.4445","5.4320","5.4636","5.4241","0.34%"
"Mar 08, 2019","5.4260","5.4713","5.4889","5.4216","-0.81%"
"Mar 07, 2019","5.4702","5.4285","5.4820","5.4199","0.81%"
"Mar 06, 2019","5.4263","5.3874","5.4482","5.3605","0.78%"
"Mar 05, 2019","5.3842","5.3740","5.4030","5.3615","0.21%"
"Mar 04, 2019","5.3727","5.3746","5.4024","5.3630","-0.01%"
"Mar 01, 2019","5.3732","5.3400","5.4061","5.3305","0.73%"
"Feb 28, 2019","5.3341","5.3088","5.3429","5.3057","0.44%"
"Feb 27, 2019","5.3109","5.3060","5.3259","5.2832","0.17%"
"Feb 26, 2019","5.3020","5.3028","5.3199","5.2877","-0.01%"
"Feb 25, 2019","5.3026","5.3198","5.3284","5.2912","-0.30%"
"Feb 22, 2019","5.3186","5.3159","5.3414","5.3010","-0.05%"
"Feb 21, 2019","5.3214","5.3288","5.3455","5.2982","-0.06%"
"Feb 20, 2019","5.3244","5.2838","5.3322","5.2748","0.79%"
"Feb 19, 2019","5.2828","5.2931","5.3246","5.2786","-0.48%"
"Feb 18, 2019","5.3083","5.2817","5.3231","5.2762","0.70%"
"Feb 15, 2019","5.2714","5.2704","5.3111","5.2430","-0.03%"
"Feb 14, 2019","5.2729","5.2830","5.3253","5.2572","-0.23%"
"Feb 13, 2019","5.2850","5.2538","5.2985","5.2352","0.64%"
"Feb 12, 2019","5.2516","5.2787","5.2938","5.2470","-0.50%"
"Feb 11, 2019","5.2780","5.2499","5.2929","5.2357","0.58%"
"Feb 08, 2019","5.2474","5.2643","5.2781","5.2220","-0.37%"
"Feb 07, 2019","5.2668","5.2176","5.2970","5.2085","0.96%"
"Feb 06, 2019","5.2168","5.2014","5.2414","5.1977","0.35%"
"Feb 05, 2019","5.1985","5.2217","5.2259","5.1790","-0.38%"
"Feb 04, 2019","5.2182","5.2031","5.2444","5.2001","0.19%"
"Feb 01, 2019","5.2084","5.1585","5.2308","5.1585","0.85%"
"Jan 31, 2019","5.1645","5.2265","5.2462","5.1589","-1.16%"
"Jan 30, 2019","5.2252","5.3095","5.3253","5.2090","-1.59%"
"Jan 29, 2019","5.3098","5.3238","5.3647","5.2963","-0.34%"
"Jan 28, 2019","5.3279","5.2585","5.3432","5.2432","1.12%"
"Jan 25, 2019","5.2688","5.2615","5.2926","5.2455","0.07%"
"Jan 24, 2019","5.2651","5.2849","5.3017","5.2446","-0.40%"
"Jan 23, 2019","5.2860","5.3397","5.3578","5.2727","-1.08%"
"Jan 22, 2019","5.3436","5.3265","5.3731","5.3216","0.35%"
"Jan 21, 2019","5.3247","5.3258","5.3589","5.3144","-0.07%"
