"Date","Price","Open","High","Low","Change %"
"May 05, 2020","1.2434","1.2443","1.2485","1.2421","-0.06%"
"May 04, 2020","1.2442","1.2499","1.2504","1.2405","-0.48%"
"May 01, 2020","1.2502","1.2599","1.2602","1.2483","-0.71%"
"Apr 30, 2020","1.2592","1.2468","1.2643","1.2428","1.03%"
"Apr 29, 2020","1.2464","1.2425","1.2487","1.2388","0.35%"
"Apr 28, 2020","1.2421","1.2432","1.2519","1.2404","-0.06%"
"Apr 27, 2020","1.2428","1.2369","1.2456","1.2359","0.49%"
"Apr 24, 2020","1.2367","1.2344","1.2378","1.2298","0.20%"
"Apr 23, 2020","1.2342","1.2334","1.2416","1.2307","0.08%"
"Apr 22, 2020","1.2332","1.2294","1.2387","1.2273","0.32%"
"Apr 21, 2020","1.2293","1.2437","1.2451","1.2247","-1.14%"
"Apr 20, 2020","1.2435","1.2487","1.2505","1.2415","-0.51%"
"Apr 17, 2020","1.2499","1.2457","1.2523","1.2407","0.35%"
"Apr 16, 2020","1.2455","1.2514","1.2531","1.2407","-0.47%"
"Apr 15, 2020","1.2514","1.2616","1.2631","1.2437","-0.86%"
"Apr 14, 2020","1.2623","1.2514","1.2648","1.2503","0.93%"
"Apr 13, 2020","1.2507","1.2464","1.2537","1.2450","0.44%"
"Apr 10, 2020","1.2452","1.2458","1.2488","1.2443","-0.02%"
"Apr 09, 2020","1.2455","1.2385","1.2485","1.2361","0.57%"
"Apr 08, 2020","1.2385","1.2331","1.2421","1.2288","0.39%"
"Apr 07, 2020","1.2337","1.2232","1.2385","1.2164","0.88%"
"Apr 06, 2020","1.2229","1.2264","1.2328","1.2208","-0.25%"
"Apr 03, 2020","1.2260","1.2396","1.2412","1.2206","-1.07%"
"Apr 02, 2020","1.2392","1.2376","1.2476","1.2349","0.13%"
"Apr 01, 2020","1.2376","1.2429","1.2443","1.2329","-0.34%"
"Mar 31, 2020","1.2418","1.2414","1.2474","1.2251","0.02%"
"Mar 30, 2020","1.2416","1.2435","1.2469","1.2316","-0.32%"
"Mar 27, 2020","1.2456","1.2204","1.2486","1.2131","2.09%"
"Mar 26, 2020","1.2201","1.1875","1.2232","1.1775","2.66%"
"Mar 25, 2020","1.1885","1.1760","1.1976","1.1639","1.09%"
"Mar 24, 2020","1.1757","1.1549","1.1801","1.1508","1.81%"
"Mar 23, 2020","1.1548","1.1660","1.1741","1.1446","-0.80%"
"Mar 20, 2020","1.1641","1.1487","1.1934","1.1409","1.36%"
"Mar 19, 2020","1.1485","1.1619","1.1794","1.1473","-1.10%"
"Mar 18, 2020","1.1613","1.2052","1.2131","1.1461","-3.63%"
"Mar 17, 2020","1.2050","1.2270","1.2275","1.2002","-1.76%"
"Mar 16, 2020","1.2266","1.2285","1.2431","1.2201","-0.08%"
"Mar 13, 2020","1.2276","1.2574","1.2626","1.2268","-2.35%"
"Mar 12, 2020","1.2571","1.2818","1.2851","1.2490","-1.94%"
"Mar 11, 2020","1.2820","1.2904","1.2977","1.2804","-0.67%"
"Mar 10, 2020","1.2906","1.3130","1.3133","1.2881","-1.71%"
"Mar 09, 2020","1.3131","1.3047","1.3201","1.3031","0.64%"
"Mar 06, 2020","1.3047","1.2954","1.3058","1.2943","0.72%"
"Mar 05, 2020","1.2954","1.2872","1.2969","1.2859","0.65%"
"Mar 04, 2020","1.2870","1.2812","1.2874","1.2770","0.47%"
"Mar 03, 2020","1.2810","1.2752","1.2845","1.2738","0.47%"
"Mar 02, 2020","1.2750","1.2800","1.2852","1.2739","-0.55%"
"Feb 28, 2020","1.2820","1.2885","1.2921","1.2725","-0.50%"
"Feb 27, 2020","1.2884","1.2907","1.2947","1.2859","-0.15%"
"Feb 26, 2020","1.2903","1.3005","1.3013","1.2895","-0.78%"
"Feb 25, 2020","1.3004","1.2924","1.3019","1.2914","0.60%"
"Feb 24, 2020","1.2927","1.2960","1.2973","1.2886","-0.32%"
"Feb 21, 2020","1.2969","1.2884","1.2982","1.2877","0.70%"
"Feb 20, 2020","1.2879","1.2922","1.2930","1.2848","-0.31%"
"Feb 19, 2020","1.2919","1.2998","1.3024","1.2907","-0.61%"
"Feb 18, 2020","1.2998","1.3007","1.3049","1.2970","-0.06%"
"Feb 17, 2020","1.3006","1.3036","1.3055","1.2998","-0.31%"
"Feb 14, 2020","1.3046","1.3051","1.3065","1.3001","0.01%"
"Feb 13, 2020","1.3045","1.2960","1.3070","1.2944","0.66%"
"Feb 12, 2020","1.2960","1.2952","1.2993","1.2947","0.07%"
"Feb 11, 2020","1.2951","1.2915","1.2969","1.2895","0.29%"
"Feb 10, 2020","1.2913","1.2897","1.2947","1.2872","0.17%"
"Feb 07, 2020","1.2891","1.2930","1.2960","1.2881","-0.29%"
"Feb 06, 2020","1.2928","1.2999","1.3005","1.2921","-0.55%"
"Feb 05, 2020","1.3000","1.3033","1.3071","1.2956","-0.22%"
"Feb 04, 2020","1.3029","1.2996","1.3047","1.2940","0.28%"
"Feb 03, 2020","1.2993","1.3217","1.3217","1.2982","-1.56%"
